Cook,31,Centre-Back,England,NottinghamForest,3
Felipe,33,Centre-Back,Brazil,NottinghamForest,3
Lodi,24,Left-Back,Brazil,NottinghamForest,20
Richards,25,Left-Back,England,NottinghamForest,7
Toffolo,27,Left-Back,England,NottinghamForest,3.5
Williams,21,Right-Back,Wales,NottinghamForest,18
Biancone,22,Right-Back,France,NottinghamForest,7
Aurier,30,Right-Back,IvoryCoast,NottinghamForest,6
Danilo,21,DefensiveMidfield,Brazil,NottinghamForest,25
Kouyaté,33,DefensiveMidfield,Senegal,NottinghamForest,3
Colback,33,DefensiveMidfield,England,NottinghamForest,0.8
Mangala,25,CentralMidfield,Belgium,NottinghamForest,12
Freuler,30,CentralMidfield,Switzerland,NottinghamForest,10
Yates,25,CentralMidfield,England,NottinghamForest,8
Shelvey,31,CentralMidfield,England,NottinghamForest,7
Arter,33,CentralMidfield,Ireland,NottinghamForest,0.6
Lingard,30,AttackingMidfield,England,NottinghamForest,12
Gibbs-White,23,AttackingMidfield,England,NottinghamForest,30
Ayew,33,LeftWinger,Ghana,NottinghamForest,2.2
Awoniyi,25,Center-Forward,Nigeria,NottinghamForest,20
Dennis,25,Center-Forward,Nigeria,NottinghamForest,10
Wood,31,Center-Forward,Australia,NottinghamForest,10
Raya,27,Goalkeeper,Spain,BrentfordFC,25
Strakosha,28,Goalkeeper,Albania,BrentfordFC,4
Ajer,24,Centre-Back,Norway,BrentfordFC,16
Pinnock,29,Centre-Back,Jamaica,BrentfordFC,12
Jansson,32,Centre-Back,Sweden,BrentfordFC,5
Mee,33,Centre-Back,England,BrentfordFC,1.8
Zanka,32,Centre-Back,Denmark,BrentfordFC,1.5
Henry,25,Left-Back,England,BrentfordFC,22
Hickey,20,Left-Back,Scotland,BrentfordFC,18
Roerslev,23,Right-Back,DenmarkU21,BrentfordFC,2.2
Stevens,19,Right-Back,WalesU21,BrentfordFC,0.4
Janelt,24,DefensiveMidfield,Germany,BrentfordFC,16
